Rank;Title;Score;Source;Category;URL;Additional_Info
13;Shokugeki no Souma: San no Sara;7.98;myanimelist;ecchi_erotica;https://myanimelist.net/anime/35788/Shokugeki_no_Souma__San_no_Sara;TV, 12 episodes
14;Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen;7.93;myanimelist;ecchi_erotica;https://myanimelist.net/anime/36949/Shokugeki_no_Souma__San_no_Sara_-_Tootsuki_Ressha-hen;TV, 12 episodes
15;Nekomonogatari: Kuro;7.92;myanimelist;ecchi_erotica;https://myanimelist.net/anime/15689/Nekomonogatari__Kuro;TV Special, 4 episodes
16;Crayon Shin-chan;7.81;myanimelist;ecchi_erotica;https://myanimelist.net/anime/966/Crayon_Shin-chan;TV, - episodes
17;Ranma ½;7.77;myanimelist;ecchi_erotica;https://myanimelist.net/anime/210/Ranma_½;TV, 161 episodes
18;Lupin the Third: Mine Fujiko to Iu Onna;7.76;myanimelist;ecchi_erotica;https://myanimelist.net/anime/13203/Lupin_the_Third__Mine_Fujiko_to_Iu_Onna;TV, 13 episodes
19;Saenai Heroine no Sodatekata ♭;7.76;myanimelist;ecchi_erotica;https://myanimelist.net/anime/30727/Saenai_Heroine_no_Sodatekata_♭;TV, 11 episodes
20;Shokugeki no Souma: Shin no Sara;7.74;myanimelist;ecchi_erotica;https://myanimelist.net/anime/39940/Shokugeki_no_Souma__Shin_no_Sara;TV, 12 episodes
1;Gintama`;9.46;anidb;ecchi;https://anidb.net/anime/8126;Type: TV Series | Episodes: 51
2;Suzumiya Haruhi no Shoushitsu;9.39;anidb;ecchi;https://anidb.net/anime/7221;Type: Movie | Episodes: 1
3;Owarimonogatari (2017);9.27;anidb;ecchi;https://anidb.net/anime/13033;Type: TV Special | Episodes: 2
4;Hunter x Hunter (2011);9.20;anidb;ecchi;https://anidb.net/anime/8550;Type: TV Series | Episodes: 148
5;Kimi no Na wa.;9.06;anidb;ecchi;https://anidb.net/anime/11829;Type: Movie | Episodes: 1
6;Monogatari Series: Second Season;9.03;anidb;ecchi;https://anidb.net/anime/9183;Type: TV Series | Episodes: 26
7;Made in Abyss;9.00;anidb;ecchi;https://anidb.net/anime/12681;Type: TV Series | Episodes: 13
8;Code Geass: Hangyaku no Lelouch R2;8.99;anidb;ecchi;https://anidb.net/anime/5373;Type: TV Series | Episodes: 25
9;Uchuu Senkan Yamato 2199;8.94;anidb;ecchi;https://anidb.net/anime/8787;Type: OVA | Episodes: 26
10;Hajime no Ippo: The Fighting! - New Challenger;8.93;anidb;ecchi;https://anidb.net/anime/6153;Type: TV Series | Episodes: 26
11;Gekijouban Made in Abyss: Fukaki Tamashii no Reimei;8.92;anidb;ecchi;https://anidb.net/anime/13612;Type: Movie | Episodes: 1
12;Gintama. (2017);8.85;anidb;ecchi;https://anidb.net/anime/13263;Type: TV Series | Episodes: 25
13;Hajime no Ippo: The Fighting! - Rising;8.84;anidb;ecchi;https://anidb.net/anime/9982;Type: TV Series | Episodes: 25
14;Monogatari Series: Off & Monster Season;8.81;anidb;ecchi;https://anidb.net/anime/18424;Type: Web | Episodes: 14
15;Evangelion Shin Gekijouban: Ha;8.80;anidb;ecchi;https://anidb.net/anime/6171;Type: Movie | Episodes: 1
16;Kizumonogatari;8.75;anidb;ecchi;https://anidb.net/anime/8357;Type: Movie | Episodes: 3
17;GTO;8.74;anidb;ecchi;https://anidb.net/anime/191;Type: TV Series | Episodes: 43
18;Tengen Toppa Gurren Lagann;8.74;anidb;ecchi;https://anidb.net/anime/4575;Type: TV Series | Episodes: 27
19;Gekijouban Tengen Toppa Gurren Lagann: Lagann Hen;8.73;anidb;ecchi;https://anidb.net/anime/6325;Type: Movie | Episodes: 1
20;Gintama;8.63;anidb;ecchi;https://anidb.net/anime/3468;Type: TV Series | Episodes: 201
1;Dandadan;4.4;animeplanet;ecchi;https://www.anime-planet.com/anime/dandadan;TV (12 eps) | 2024
2;Monogatari Series: Second Season;4.3;animeplanet;ecchi;https://www.anime-planet.com/anime/monogatari-series-second-season;TV (26 eps) | 2013
3;Kizumonogatari Part 3: Reiketsu;4.3;animeplanet;ecchi;https://www.anime-planet.com/anime/kizumonogatari-part-3-reiketsu;Movie (1 ep) | 2017
4;Kizumonogatari Part 2: Nekketsu;4.3;animeplanet;ecchi;https://www.anime-planet.com/anime/kizumonogatari-part-2-nekketsu;Movie (1 ep) | 2016
5;KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson;4.3;animeplanet;ecchi;https://www.anime-planet.com/anime/konosuba-gods-blessing-on-this-wonderful-world-movie-legend-of-crimson;Movie (1 ep) | 2019
6;Food Wars! The Second Plate;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/food-wars-the-second-plate;TV (13 eps) | 2016
7;My Dress-Up Darling;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/my-dress-up-darling;TV (12 eps) | 2022
8;Food Wars! The Third Plate;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/food-wars-the-third-plate;TV (12 eps) | 2017
9;No Game No Life;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/no-game-no-life;TV (12 eps) | 2014
10;Food Wars! Shokugeki no Souma;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/food-wars-shokugeki-no-souma;TV (24 eps) | 2015
11;Food Wars! The Third Plate: Totsuki Train Arc;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/food-wars-the-third-plate-totsuki-train-arc;TV (12 eps) | 2018
12;Dandadan 2nd Season;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/dandadan-2nd-season;TV (3+ eps) | 2025 - ?
13;Zoku Owarimonogatari;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/zoku-owarimonogatari;Movie (1 ep) | 2018
14;KonoSuba – God's blessing on this wonderful world! 3;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/konosuba-gods-blessing-on-this-wonderful-world-3;TV (11 eps) | 2024
15;Mushoku Tensei: Jobless Reincarnation;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/mushoku-tensei-jobless-reincarnation;TV (11 eps) | 2021
16;Grand Blue;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/grand-blue;TV (12 eps) | 2018
17;KonoSuba – God's blessing on this wonderful world! 2;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/konosuba-gods-blessing-on-this-wonderful-world-2;TV (10 eps) | 2017
18;Kizumonogatari Part 1: Tekketsu;4.1;animeplanet;ecchi;https://www.anime-planet.com/anime/kizumonogatari-part-1-tekketsu;Movie (1 ep) | 2016
19;Food Wars! The Fourth Plate;4.1;animeplanet;ecchi;https://www.anime-planet.com/anime/food-wars-the-fourth-plate;TV (12 eps) | 2019
20;Fire Force Season 2;4.1;animeplanet;ecchi;https://www.anime-planet.com/anime/fire-force-season-2;TV (24 eps) | 2020
