Rank;Title;Score;Source;Category;URL;Additional_Info
14;Kaguya-sama wa Kokurasetai: Ultra Romantic;8.98;myanimelist;ecchi_erotica;https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic;"TV (13 eps)
        Apr 2022 - Jun 2022
        1,039,649 members"
15;Fruits Basket: The Final;8.95;myanimelist;ecchi_erotica;https://myanimelist.net/anime/42938/Fruits_Basket__The_Final;"TV (13 eps)
        Apr 2021 - Jun 2021
        532,050 members"
16;Clannad: After Story;8.93;myanimelist;ecchi_erotica;https://myanimelist.net/anime/4181/Clannad__After_Story;"TV (24 eps)
        Oct 2008 - Mar 2009
        1,248,614 members"
17;Gintama;8.93;myanimelist;ecchi_erotica;https://myanimelist.net/anime/918/Gintama;"TV (201 eps)
        Apr 2006 - Mar 2010
        1,120,367 members"
18;Koe no Katachi;8.93;myanimelist;ecchi_erotica;https://myanimelist.net/anime/28851/Koe_no_Katachi;"Movie (1 eps)
        Sep 2016 - Sep 2016
        2,494,153 members"
19;Code Geass: Hangyaku no Lelouch R2;8.91;myanimelist;ecchi_erotica;https://myanimelist.net/anime/2904/Code_Geass__Hangyaku_no_Lelouch_R2;"TV (25 eps)
        Apr 2008 - Sep 2008
        1,881,750 members"
20;3-gatsu no Lion 2nd Season;8.90;myanimelist;ecchi_erotica;https://myanimelist.net/anime/35180/3-gatsu_no_Lion_2nd_Season;"TV (22 eps)
        Oct 2017 - Mar 2018
        425,787 members"
1;Gintama`;9.46;anidb;ecchi;https://anidb.net/anime/8126;Type: TV Series | Episodes: 51
2;Suzumiya Haruhi no Shoushitsu;9.39;anidb;ecchi;https://anidb.net/anime/7221;Type: Movie | Episodes: 1
3;Owarimonogatari (2017);9.27;anidb;ecchi;https://anidb.net/anime/13033;Type: TV Special | Episodes: 2
4;Hunter x Hunter (2011);9.20;anidb;ecchi;https://anidb.net/anime/8550;Type: TV Series | Episodes: 148
5;Kimi no Na wa.;9.06;anidb;ecchi;https://anidb.net/anime/11829;Type: Movie | Episodes: 1
6;Monogatari Series: Second Season;9.03;anidb;ecchi;https://anidb.net/anime/9183;Type: TV Series | Episodes: 26
7;Made in Abyss;9.00;anidb;ecchi;https://anidb.net/anime/12681;Type: TV Series | Episodes: 13
8;Code Geass: Hangyaku no Lelouch R2;8.99;anidb;ecchi;https://anidb.net/anime/5373;Type: TV Series | Episodes: 25
9;Uchuu Senkan Yamato 2199;8.94;anidb;ecchi;https://anidb.net/anime/8787;Type: OVA | Episodes: 26
10;Hajime no Ippo: The Fighting! - New Challenger;8.93;anidb;ecchi;https://anidb.net/anime/6153;Type: TV Series | Episodes: 26
11;Gekijouban Made in Abyss: Fukaki Tamashii no Reimei;8.92;anidb;ecchi;https://anidb.net/anime/13612;Type: Movie | Episodes: 1
12;Gintama. (2017);8.85;anidb;ecchi;https://anidb.net/anime/13263;Type: TV Series | Episodes: 25
13;Hajime no Ippo: The Fighting! - Rising;8.84;anidb;ecchi;https://anidb.net/anime/9982;Type: TV Series | Episodes: 25
14;Monogatari Series: Off & Monster Season;8.81;anidb;ecchi;https://anidb.net/anime/18424;Type: Web | Episodes: 14
15;Evangelion Shin Gekijouban: Ha;8.80;anidb;ecchi;https://anidb.net/anime/6171;Type: Movie | Episodes: 1
16;Kizumonogatari;8.75;anidb;ecchi;https://anidb.net/anime/8357;Type: Movie | Episodes: 3
17;GTO;8.74;anidb;ecchi;https://anidb.net/anime/191;Type: TV Series | Episodes: 43
18;Tengen Toppa Gurren Lagann;8.74;anidb;ecchi;https://anidb.net/anime/4575;Type: TV Series | Episodes: 27
19;Gekijouban Tengen Toppa Gurren Lagann: Lagann Hen;8.73;anidb;ecchi;https://anidb.net/anime/6325;Type: Movie | Episodes: 1
20;Gintama;8.63;anidb;ecchi;https://anidb.net/anime/3468;Type: TV Series | Episodes: 201
1;Dandadan;4.4;animeplanet;ecchi;https://www.anime-planet.com/anime/dandadan;TV (12 eps) | 2024
2;Monogatari Series: Second Season;4.3;animeplanet;ecchi;https://www.anime-planet.com/anime/monogatari-series-second-season;TV (26 eps) | 2013
3;Kizumonogatari Part 3: Reiketsu;4.3;animeplanet;ecchi;https://www.anime-planet.com/anime/kizumonogatari-part-3-reiketsu;Movie (1 ep) | 2017
4;Kizumonogatari Part 2: Nekketsu;4.3;animeplanet;ecchi;https://www.anime-planet.com/anime/kizumonogatari-part-2-nekketsu;Movie (1 ep) | 2016
5;KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson;4.3;animeplanet;ecchi;https://www.anime-planet.com/anime/konosuba-gods-blessing-on-this-wonderful-world-movie-legend-of-crimson;Movie (1 ep) | 2019
6;Food Wars! The Second Plate;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/food-wars-the-second-plate;TV (13 eps) | 2016
7;My Dress-Up Darling;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/my-dress-up-darling;TV (12 eps) | 2022
8;Food Wars! The Third Plate;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/food-wars-the-third-plate;TV (12 eps) | 2017
9;No Game No Life;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/no-game-no-life;TV (12 eps) | 2014
10;Food Wars! Shokugeki no Souma;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/food-wars-shokugeki-no-souma;TV (24 eps) | 2015
11;Food Wars! The Third Plate: Totsuki Train Arc;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/food-wars-the-third-plate-totsuki-train-arc;TV (12 eps) | 2018
12;Dandadan 2nd Season;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/dandadan-2nd-season;TV (3+ eps) | 2025 - ?
13;Zoku Owarimonogatari;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/zoku-owarimonogatari;Movie (1 ep) | 2018
14;KonoSuba – God's blessing on this wonderful world! 3;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/konosuba-gods-blessing-on-this-wonderful-world-3;TV (11 eps) | 2024
15;Mushoku Tensei: Jobless Reincarnation;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/mushoku-tensei-jobless-reincarnation;TV (11 eps) | 2021
16;Grand Blue;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/grand-blue;TV (12 eps) | 2018
17;KonoSuba – God's blessing on this wonderful world! 2;4.2;animeplanet;ecchi;https://www.anime-planet.com/anime/konosuba-gods-blessing-on-this-wonderful-world-2;TV (10 eps) | 2017
18;Kizumonogatari Part 1: Tekketsu;4.1;animeplanet;ecchi;https://www.anime-planet.com/anime/kizumonogatari-part-1-tekketsu;Movie (1 ep) | 2016
19;Food Wars! The Fourth Plate;4.1;animeplanet;ecchi;https://www.anime-planet.com/anime/food-wars-the-fourth-plate;TV (12 eps) | 2019
20;Fire Force Season 2;4.1;animeplanet;ecchi;https://www.anime-planet.com/anime/fire-force-season-2;TV (24 eps) | 2020
